,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
4357,Purples,7.0,1008.36894738,174057.887462,Education,336.12298246,No,517.839887615,No,Female,By_16:00,0.712091469904,0.0314034745097,9.0062635811,4.15079752915,8.8464834122,5.69994337624,9987.0,34.2752147233,346.458864568,5871.31660529,46766.7365702,No,268158.149205,18.613405507,163.896950672,73.2234674972,113324.782321,100.0,45_and_up,3.0,586.352386772,13.0,Public_or_other,Public_Sector,445.510839798,1.0,No
3377,Blues,2.0,1299.65541454,321346.923631,Financial,,Yes,741.766440634,No,Male,After_16:00,0.961576048983,0.0226466832682,2.18693116214,7.87422287744,9.0092292265,3.06674885796,3904.0,50.2691860311,26.4990882279,7470.66258279,17191.9443417,Yes,550217.45245,5.1477265106,661.11222222,8.145396295,188121.462531,60.0,30-45,3.0,151.547297222,9.0,Foot_or_bicycle,Student_or_Unemployed,107.042947508,0.0,Yes
8406,Purples,8.0,,48095.6548589,Environment,118.093790601,No,407.266585432,Yes,Male,After_16:00,0.964517096523,0.714523349656,9.04634985607,9.75717675174,6.93564379588,9.33397464687,9036.0,18.4740867931,443.483660003,4959.63317433,54345.6710106,No,165866.07161,21.0590517356,110.296472091,5.93346343376,14074.2371691,90.0,Below_30,1.0,699.502088589,13.0,Motorcycle_or_truck,Public_Sector,519.280272086,2.0,Yes
9696,Greys,3.0,591.553256272,93939.1924368,Foreign_Affairs,197.184418757,No,476.402714925,Yes,Male,By_16:00,0.672787753167,0.634930365253,4.92292048642,1.65293907514,0.841457585339,3.81230956409,4400.0,25.8768487256,378.716420122,5521.45998949,48609.8186552,Maybe,226959.546788,19.4606377111,135.626198545,58.8976002065,39088.8794194,40.0,45_and_up,5.0,610.521112465,7.0,Foot_or_bicycle,Public_Sector,444.072125724,0.0,No
5599,Oranges,2.0,542.146199616,77189.2350457,Military,180.715399872,No,427.131473579,Yes,Male,After_16:00,0.202310203575,0.835250323638,6.70557570877,5.1914499281,9.69751845347,8.85710028,9643.0,82.8313088743,395.884388237,5063.08351226,51995.1203807,Maybe,182441.295722,19.8968436752,144.113722729,63.7573490152,32848.7711507,30.0,,,682.990276574,7.0,Motorcycle_or_truck,Public_Sector,567.962359606,3.0,No
909,Greys,10.0,549.162415503,71684.6818131,Military,183.054138501,No,391.603721173,Yes,Male,After_16:00,0.547123245895,0.198291997891,5.49909177236,7.73624428315,2.94089317555,3.30798335606,8494.0,47.5997616304,455.682964247,4827.40314022,52723.1314229,Maybe,153353.474436,21.3467319337,143.029757127,58.4666893119,33701.8717608,30.0,30-45,2.0,658.214844792,7.0,Motorcycle_or_truck,Industry_or_other,417.879609705,1.0,Yes
3113,Purples,3.0,367.28870881,43925.3085439,Financial,122.429569603,No,358.780225122,Yes,Male,By_16:00,0.54244508408,0.336824811064,9.13145372178,3.17240543431,8.19286418147,4.41877635894,3923.0,81.8748972844,270.957962219,4129.71817566,38474.5062216,No,128723.249939,16.460800777,271.325139735,22.8050551377,15121.4290828,60.0,30-45,2.0,512.31856714,10.0,Public_or_other,Industry_or_other,465.156757262,5.0,No
9952,Greys,8.0,426.065504546,55276.419136,Foreign_Affairs,142.021834849,No,389.210709711,Yes,Female,By_16:00,0.987750121858,0.470240542898,3.74313351931,4.19357282808,2.90766201215,8.5566118313,3469.0,96.3950036792,392.754372774,4677.61584266,47548.4028282,Maybe,151484.976554,19.818031506,176.77907121,27.5159467012,20322.2234086,40.0,30-45,2.0,599.171113884,8.0,Foot_or_bicycle,Public_Sector,413.542214833,3.0,Yes
7814,Blues,4.0,1188.47710386,61964.1704902,Environment,396.159034621,Yes,156.412362397,Yes,Male,After_16:00,0.0917582619004,0.666064008838,3.25781611959,9.27791475784,2.99315417651,3.44499523519,4400.0,,198.659511424,1961.44264682,18878.8335349,Yes,24464.8271107,14.0946625154,666.963761567,11.8421781575,157348.139747,90.0,Below_30,2.0,201.544850005,13.0,Motorcycle_or_truck,Student_or_Unemployed,14.2201069676,0.0,Yes
1311,Whites,5.0,777.924716802,78119.8428706,Education,259.308238934,No,301.262478939,Yes,Male,By_16:00,0.614439409925,0.583522017347,3.07939825114,6.80215124507,5.29505098006,6.49951970438,7017.0,71.9633975532,324.284072304,3661.192934,43455.5199445,No,90759.0812165,18.0078891685,268.094252832,50.512916944,67510.071018,100.0,Below_30,2.0,591.358695971,10.0,Foot_or_bicycle,Industry_or_other,538.753566008,0.0,Yes
2170,Browns,2.0,594.196440828,100102.51174,Financial,198.065480276,No,505.401100688,No,Female,After_16:00,0.169257525122,0.707342391368,9.85033264617,3.95733626792,4.28830658551,8.37153392378,8235.0,35.3757022414,481.661149259,6017.3333054,57411.3013638,No,255430.272577,21.9467799292,56.1139780534,33.2695338409,39437.9999573,60.0,Below_30,2.0,707.656681606,6.0,,Hightech,447.243074409,0.0,Yes
7566,Greens,7.0,87.2384335176,8032.16506599,Education,29.0794778392,No,276.214212319,Yes,Female,After_16:00,0.219176289625,0.15235653962,5.49449763494,5.02936896402,4.61751422146,8.45902476925,6666.0,28.1989907846,506.592938611,3775.32800041,59831.4957592,No,76294.2910868,22.5076195679,261.512341024,97.79150018,884.695509239,100.0,Below_30,1.0,801.129393393,13.0,Motorcycle_or_truck,Public_Sector,635.148654822,1.0,No
7425,Whites,4.0,618.777483033,55425.7998047,Healthcare,206.259161011,No,268.719214861,Yes,Male,After_16:00,0.604638078017,0.709059345536,5.43063875288,0.285606228281,,2.14369887253,5251.0,34.9577651825,274.569577041,,38543.0224539,No,72210.0164354,16.5701411292,323.728088564,14.0359018696,42759.100662,80.0,Below_30,4.0,535.054750344,9.0,Foot_or_bicycle,Industry_or_other,522.140419041,5.0,Yes
9425,Reds,7.0,92.9134889214,14094.0736414,Other,30.9711629738,No,455.070855859,Yes,Female,By_16:00,0.42806378263,0.270516467746,5.22847523447,3.60461888602,8.91297515482,,6969.0,61.841439479,401.13265683,5352.97387225,52235.799189,Maybe,207089.483853,20.0282964036,115.565071984,97.8542150697,1000.18409892,50.0,45_and_up,1.0,676.286957016,7.0,Car,Public_Sector,539.520960566,0.0,No
5931,Reds,3.0,113.460551655,18460.9996553,Other,37.820183885,No,488.125592181,Yes,Female,After_16:00,0.903622236568,0.0157577598002,7.28812898276,1.79025434889,4.20859849779,8.75569441356,5029.0,44.5027593058,400.732974093,5682.72187,50961.2376003,Maybe,238266.593742,20.0183159655,107.289240488,47.8021054761,1478.18649298,50.0,Below_30,0.0,640.004075158,9.0,Foot_or_bicycle,Industry_or_other,461.063678512,1.0,Yes
5008,Browns,8.0,447.062332984,49215.3183458,Social,149.020777661,No,330.258096341,Yes,Female,After_16:00,0.846426694421,0.130968898768,0.291739548557,9.1593510122,6.2537028268,9.96575462399,4700.0,2.95271996874,384.243006617,4071.06697665,45706.7251697,No,109070.410199,19.6021174014,225.669333497,,22366.2129525,70.0,45_and_up,1.0,582.168363472,6.0,Foot_or_bicycle,Services_or_Retail,406.647695765,0.0,Yes
3041,Purples,3.0,93.1049256491,13236.2368299,Environment,31.0349752164,No,426.494196875,Yes,Male,By_16:00,0.709478306584,0.667115169577,7.20629518619,6.38594805961,5.08779398398,5.22200312698,9697.0,37.5260343542,428.365437513,5121.67284378,52361.7091695,No,181897.299968,20.6969910256,106.549941124,33.1883183448,1004.2046619,90.0,30-45,3.0,663.875548702,15.0,Car,Services_or_Retail,471.394470504,0.0,Yes
7091,Browns,3.0,503.020611937,77591.4017284,Education,167.673537312,No,462.752817005,Yes,Male,After_16:00,0.752985098632,0.0777625204064,4.85980846453,2.12273683632,6.69219654985,6.72093265224,7977.0,53.3649963094,428.246375003,5484.02092006,52156.1548461,No,214140.169646,20.6941145016,103.066846253,48.6614682246,28292.0886521,100.0,45_and_up,2.0,649.732822611,9.0,Car,Student_or_Unemployed,436.071606815,1.0,No
2131,Oranges,6.0,389.735338698,50312.0911448,Other,129.911779566,No,387.278900442,Yes,Male,After_16:00,0.0405509825796,0.437990304083,3.03997628391,1.35858053807,2.26602102863,1.75447352463,7964.0,,453.5211639,4779.83133222,51173.9146879,Maybe,149984.946727,21.2960363425,184.719098901,91.3230031729,17016.9822496,50.0,30-45,1.0,627.516073824,10.0,Car,,361.23827254,1.0,Yes
9569,Blues,4.0,1802.36249506,338516.594391,Environment,600.787498353,Yes,563.454791118,No,Female,By_16:00,0.327198930085,0.95966952201,6.76226234064,6.97277856059,7.76469053933,6.68893290916,6886.0,39.8699596059,40.5404747604,5715.6288607,22904.4947331,Yes,317481.301634,6.36714023408,467.897147606,48.3802183531,361556.405676,90.0,45_and_up,2.0,312.017239076,12.0,Foot_or_bicycle,Public_Sector,438.37066536,0.0,No
7022,Pinks,8.0,244.579183732,26700.8325204,Social,81.5263945772,No,327.511509111,Yes,Female,By_16:00,0.135666243266,0.26619644952,5.15135562513,2.10512080695,1.26928881276,1.33118140744,3559.0,63.7228047708,365.189312667,4005.49371645,47481.2918717,No,107263.7886,19.1099270712,225.03621035,46.3435147889,6738.07940733,,45_and_up,1.0,637.474819343,6.0,Motorcycle_or_truck,Public_Sector,552.106574063,2.0,Yes
6485,Oranges,2.0,292.073522333,44416.9718137,Other,97.3578407777,No,456.223879442,Yes,Female,After_16:00,0.0543687334284,0.103166900109,9.27527354099,2.30120499618,1.84546488803,2.1349759982,3879.0,37.596287881,390.513495392,5343.26578521,47306.0465301,Maybe,208140.228174,19.7614143065,182.072095781,82.5545123778,9585.90700167,50.0,45_and_up,3.0,577.718467454,8.0,Foot_or_bicycle,Public_Sector,361.267867313,2.0,No
2447,Purples,3.0,205.005810375,26993.6581599,Healthcare,68.335270125,No,395.017947693,Yes,Male,After_16:00,0.690360212931,0.50103607378,3.27398112277,6.69096503407,6.15910185035,0.487961401232,8257.0,17.5205756677,367.820534601,4685.82054614,47291.0387363,No,156039.179,19.1786478825,169.481831375,64.9645456579,4748.04441318,80.0,30-45,0.0,612.933555419,14.0,Foot_or_bicycle,Hightech,484.786559016,4.0,Yes
4523,Oranges,4.0,,25687.7125159,Other,58.4272783082,No,439.652731732,Yes,Female,By_16:00,0.564811832272,0.938068934716,4.39017523313,3.62935072975,3.08474840829,3.45703615341,7002.0,37.1015463723,344.812754958,5086.15282724,46797.4201079,Maybe,193294.52452,18.5691344698,166.829926503,17.8479770431,3482.17412881,50.0,Below_30,2.0,609.477258545,10.0,Foot_or_bicycle,Public_Sector,510.361011819,1.0,Yes
2377,Yellows,1.0,1079.47604693,209963.955947,Education,359.825348975,Yes,583.516299074,No,Male,By_16:00,,0.89365456556,3.36739681894,8.16979701864,8.72003695229,3.91219600104,5815.0,61.6074433085,588.576311719,7012.31561418,72009.1164727,Yes,340491.271285,24.260591743,194.988345071,55.243577878,129844.107114,100.0,Below_30,2.0,914.227581126,14.0,Motorcycle_or_truck,Services_or_Retail,652.314541344,0.0,No
715,Purples,5.0,176.9172302,23256.2102226,Financial,58.9724100666,No,394.35746642,Yes,Male,After_16:00,0.138149871957,0.896894966718,,9.97499773744,7.08245716756,1.38386294013,6802.0,75.7254409604,430.553520177,4804.68170456,52809.1176555,No,155517.811321,20.7497836176,126.617581493,4.13035894744,3546.71755913,60.0,45_and_up,1.0,680.428678109,9.0,Foot_or_bicycle,Student_or_Unemployed,506.989526615,0.0,No
8543,Pinks,4.0,81.6764796745,19512.2495955,Social,27.2254932248,No,716.690398752,No,Male,After_16:00,0.116669497686,0.142900734674,5.85853422061,5.09005013388,5.58661737945,1.52978597209,7728.0,79.1262400802,685.668270126,8538.24052778,,No,513645.127664,26.1852681889,285.357161698,65.1461115805,778.45297456,70.0,30-45,3.0,939.334905075,8.0,Public_or_other,Public_Sector,501.128844173,0.0,Yes
4411,Yellows,2.0,1164.76149558,102567.314849,Education,388.25383186,Yes,264.175924182,Yes,Female,After_16:00,0.665757626994,0.720516305417,5.95424429746,5.86120674852,5.94816373894,3.06479660328,8960.0,84.3722206773,281.562100555,3204.88344293,34000.7142591,Yes,69788.9189176,16.779812292,376.653263994,95.759836561,151139.291786,100.0,30-45,0.0,431.665993866,12.0,Public_or_other,Student_or_Unemployed,303.685021896,1.0,Yes
6533,Blues,8.0,1482.77735392,154659.253612,Environment,494.259117973,Yes,312.911280718,Yes,Female,After_16:00,0.513348987559,0.174856365891,1.41249301145,4.61381496862,5.84421416512,4.11847125506,6883.0,70.4944031546,206.34576802,3541.80434322,26655.0535658,Yes,97913.4696007,14.3647404439,453.197476628,78.3361858688,244796.334818,90.0,45_and_up,5.0,321.956674767,11.0,Foot_or_bicycle,Student_or_Unemployed,209.908710955,,Yes
5165,Greens,2.0,704.296055071,58310.3837281,Financial,234.76535169,No,248.377298048,Yes,Male,After_16:00,0.728291440988,0.930957920384,5.09812351549,2.63385330094,7.46223097201,6.35569553124,9887.0,10.5769487098,537.720852091,3559.21468466,62687.3818885,No,61691.2821855,23.1888087683,306.905299733,6.87794655096,55359.535706,60.0,Below_30,1.0,844.597358738,8.0,Public_or_other,Public_Sector,671.621724103,1.0,No
920,Browns,5.0,254.048817591,42826.4567125,Financial,84.6829391971,No,505.727093539,No,,,0.362091665389,0.773858500179,6.25943418127,0.608639118727,5.38142851321,8.96360763814,8171.0,44.2451618379,471.832196719,6000.93532882,57443.8684744,No,255759.893139,21.7216987531,33.5973932232,33.7756677065,7265.88313026,60.0,30-45,4.0,716.524559155,6.0,Foot_or_bicycle,Student_or_Unemployed,482.605745508,0.0,No
2302,Greens,9.0,219.713028908,19417.1342303,Environment,73.2376763025,No,265.124935833,Yes,Male,By_16:00,0.381953951204,0.453406005865,6.81515536504,5.78924712725,0.425294304732,7.62915380998,3736.0,27.6593693066,482.513485737,3616.2763298,56921.5974971,No,70291.2316005,21.9661896044,256.103278032,75.9657070274,5446.9949065,90.0,30-45,0.0,761.065820507,14.0,Motorcycle_or_truck,Industry_or_other,600.582379522,1.0,No
1859,Browns,3.0,411.547346893,63803.1976445,Healthcare,137.182448964,No,465.097380358,Yes,Female,By_16:00,0.147660734365,0.929690389428,3.95988698117,9.08351641381,2.66155065969,4.63482714957,8515.0,17.4100534758,438.980928303,5528.93566019,53252.8226369,No,216315.573216,20.9518717136,89.4514833318,9.8007729277,18966.2067528,80.0,30-45,4.0,663.933723652,8.0,Car,Industry_or_other,444.682300286,0.0,No
263,Browns,6.0,227.287521685,21376.3434138,Social,75.7625072282,No,,Yes,Female,,0.863813308766,0.00141432369128,6.18605938507,4.08690097276,6.53449513949,9.32020975975,6432.0,36.5984570235,369.19509068,3559.88384569,43381.1362793,No,79608.2649787,19.2144500489,275.545028925,24.3319151225,5825.72000873,70.0,45_and_up,2.0,557.207687724,7.0,Motorcycle_or_truck,Public_Sector,393.434338936,0.0,Yes
2395,Purples,6.0,1026.13950465,168990.394901,Social,342.046501551,No,494.05678507,Yes,Female,After_16:00,0.992685344303,0.978798620636,3.41409853892,0.323305537459,5.10576697532,1.74798795022,8654.0,9.27065904252,406.390373652,5753.348598,52414.9860963,No,244092.106874,20.1591263117,93.7983333376,72.7416365407,117347.855725,70.0,45_and_up,3.0,665.261163879,12.0,Car,Industry_or_other,500.208298172,0.0,Yes
4361,Yellows,8.0,65.8355166807,4313.27411228,Social,21.9451722269,Yes,196.547744884,Yes,Female,By_16:00,0.275456641801,0.210819042288,7.12080097292,3.81649916992,8.17522970494,1.22652037069,3616.0,58.0186321167,340.887626883,2647.2527026,45219.6676456,Yes,38631.0160189,18.4631423892,368.310421851,9.21858442016,513.535756296,70.0,30-45,,644.00463503,9.0,Motorcycle_or_truck,Hightech,635.101992695,2.0,No
4802,Greens,5.0,506.320696316,45970.6671464,Healthcare,168.773565439,,272.380731111,Yes,Male,By_16:00,0.509750977159,0.323132299585,4.50851260452,9.27238021046,9.41300887847,3.85415543802,9266.0,29.1578001576,514.076800856,3751.96091282,61205.2372053,No,74191.2626806,,285.451260792,82.9152446473,28663.2899563,80.0,45_and_up,1.0,825.746774489,14.0,Motorcycle_or_truck,Public_Sector,671.679161216,0.0,Yes
3261,Yellows,4.0,12.5757157476,566.390925884,Social,4.19190524919,Yes,135.115393172,Yes,Male,After_16:00,0.372404561611,0.210074040573,4.97394363163,5.57405689266,4.31605411693,1.76934949821,3475.0,64.3267735839,653.940518688,2659.0349691,62093.6568311,Yes,18256.169472,25.572260727,432.857171106,47.9412730783,31.7639748674,70.0,45_and_up,2.0,764.698302921,9.0,Car,Public_Sector,325.280593569,1.0,No
9956,Oranges,8.0,437.571481027,58029.9102767,Other,145.857160342,No,397.854381235,Yes,Female,By_16:00,0.301259357249,0.680743636796,2.98651305027,1.11876761308,1.61688582739,8.28078554943,3362.0,8.20707429666,387.548458842,4753.64073003,46249.8462669,Maybe,158288.108668,19.6862505024,200.728678214,0.796191045083,21430.1683835,50.0,Below_30,0.0,572.980031051,10.0,Motorcycle_or_truck,Industry_or_other,368.801959938,3.0,No
6479,Purples,7.0,256.589096954,42089.9668257,Financial,85.5296989847,No,492.109376337,Yes,Male,By_16:00,0.15495475498,0.277830374893,5.06699732505,5.06477122894,4.57884419011,3.99649931816,4294.0,63.3792632958,450.591627131,5822.27701764,57632.9792824,No,242171.638279,21.2271436404,89.969552874,96.5796729084,7410.85910739,60.0,45_and_up,2.0,742.130134969,10.0,Foot_or_bicycle,Services_or_Retail,574.773465835,1.0,No
6853,Greens,1.0,488.245572444,43395.7108213,Financial,162.748524148,No,266.64273024,Yes,Female,After_16:00,0.28011656017,0.685853950912,1.92881979048,1.93427094491,3.25015950948,7.30543401791,9742.0,72.1823371015,502.551474584,3671.53025157,58915.8883411,No,71098.3455898,22.417659882,260.821261055,41.7831863277,26659.8306365,60.0,30-45,1.0,787.196338417,,Motorcycle_or_truck,Student_or_Unemployed,616.471476534,0.0,Yes
8175,Browns,8.0,967.617658099,148215.042352,Environment,322.539219366,No,459.525643558,Yes,Male,By_16:00,0.740518788807,0.159487497993,8.92895856872,8.58492455911,8.4338431526,5.15613738215,7289.0,82.120236801,427.762731959,5450.7818995,51735.7156201,No,211163.817087,20.6824256788,113.852467211,18.0885871174,104364.087249,,30-45,0.0,641.868612747,8.0,Car,Industry_or_other,421.859179256,1.0,No
3422,Browns,2.0,318.983167257,34698.2174307,Financial,106.327722419,No,326.332744098,Yes,Female,By_16:00,0.703546208097,0.227183850715,7.55975145614,5.49514080165,8.58175667003,2.20506871585,9999.0,82.1666388074,392.398830612,4048.1251022,46289.2348478,No,106493.059871,19.8090593066,224.675724292,37.7024161862,11421.9122773,60.0,Below_30,5.0,589.045955639,6.0,Motorcycle_or_truck,Industry_or_other,406.507467356,0.0,No
3844,Reds,1.0,316.871534333,56384.7805571,Other,105.623844778,No,533.826246107,No,Female,After_16:00,0.67279163911,0.892889829818,8.14940109849,,3.66941629909,7.17420046683,4510.0,97.0960530918,436.525661778,6211.31378462,55707.6136996,Maybe,284970.461032,20.8931965428,72.5050372351,88.2488459814,11272.0204304,50.0,Below_30,1.0,700.832123984,7.0,Foot_or_bicycle,Public_Sector,509.152807548,0.0,No
5699,Greens,2.0,207.14908151,21596.0744069,,69.0496938366,No,312.761334728,Yes,Female,After_16:00,0.062172963284,0.813415236771,8.22418100201,4.83607288217,4.19299691683,9.74169188645,6906.0,83.5151359206,503.030767967,4133.67488321,,No,97819.6525008,22.4283474194,209.576780418,77.8106068261,4846.90991276,60.0,45_and_up,4.0,781.054126351,10.0,Car,Public_Sector,594.100603416,1.0,No
7178,Purples,3.0,253.449112088,40867.6677267,Education,84.4830373625,No,483.738144396,Yes,Female,After_16:00,0.443145969883,0.683992762817,6.24756562989,2.24416323239,4.10558821168,6.49382770993,4935.0,19.9355514953,444.456075289,5726.29359453,57693.2831296,No,234002.592343,21.0821269157,,38.2602424594,7231.86663936,100.0,45_and_up,1.0,750.846209413,16.0,Car,Industry_or_other,604.923854427,0.0,No
8807,Greys,1.0,490.952577146,75002.5646083,Military,163.650859049,No,458.308407572,Yes,Female,After_16:00,0.0250642667525,0.211109397467,,7.36994907958,5.2734347526,8.55275984388,3079.0,38.1062926725,515.201403085,5613.48688189,58597.7047272,Maybe,210046.596451,22.6980484422,94.1433315469,32.9449604033,26955.2545264,30.0,30-45,1.0,717.997963353,9.0,Car,,416.971719638,1.0,No
9600,Greens,10.0,318.21993879,30966.9546105,Social,106.07331293,No,291.939166933,Yes,Male,By_16:00,,0.599502266617,0.912837598007,5.73201847728,9.70823934535,1.43537517171,3171.0,68.7254641438,512.93398278,3945.25963489,60343.1060563,No,85228.4771893,22.6480458932,242.408225144,7.3153992882,11367.6210288,70.0,Below_30,1.0,802.691492413,11.0,Car,Services_or_Retail,623.713982435,2.0,No
1862,Purples,8.0,411.134737981,52242.5111208,Social,137.04491266,No,381.207226935,Yes,Male,By_16:00,0.670902742073,0.0774926890153,0.113342332188,8.70864661876,4.16379695991,3.60496427398,6857.0,6.277035526,373.578634039,4559.22953742,45264.9657982,No,145318.949867,19.328182378,207.101623838,38.4389263345,18928.3529988,70.0,45_and_up,3.0,567.779585006,9.0,Motorcycle_or_truck,Services_or_Retail,386.876183356,0.0,No
848,Purples,6.0,588.533308349,70463.0424808,Financial,196.17776945,No,359.179547603,Yes,Female,After_16:00,0.246620394755,0.487088009948,7.29746190831,4.84092749422,7.81538854586,8.53505366482,3158.0,74.4369926397,402.661518962,4397.11851396,49947.7604381,No,129009.947417,20.0664276582,171.279109015,82.7340949094,38691.8949958,60.0,Below_30,2.0,651.11303078,9.0,Car,Hightech,505.599417907,1.0,No
9064,Purples,1.0,166.250960976,26465.0723691,Financial,55.416986992,No,477.562455226,Yes,Male,By_16:00,0.959124954417,0.792153322836,7.03499064781,3.6984019191,3.19942963775,5.13846306596,6694.0,60.4447302176,442.182943724,5659.9904397,,No,228065.898641,21.0281464643,63.8817892649,59.3306170776,3136.45943426,60.0,45_and_up,2.0,703.37967395,8.0,Motorcycle_or_truck,Student_or_Unemployed,515.317558152,0.0,No
5752,Yellows,4.0,1796.91263721,134633.867494,Healthcare,598.970879069,Yes,224.775314124,Yes,Male,After_16:00,0.000276889652014,0.639869293198,1.5354190371,3.76294882037,1.23574513244,2.85906525794,5352.0,82.7643132769,260.176288388,2768.10571801,33600.1485184,Yes,50523.9418394,16.1299810412,381.33083612,20.2952842694,359375.084852,80.0,Below_30,0.0,451.524562858,10.0,Motorcycle_or_truck,Hightech,389.776743793,0.0,No
635,Browns,9.0,495.16428945,78965.8947501,Environment,165.05476315,No,478.422392926,Yes,Female,By_16:00,0.871523124631,0.0781378156971,3.62144185463,7.35492988257,8.87398402207,3.88558127219,8099.0,10.9382968163,427.275401072,5638.77473141,53003.4728186,No,228887.986053,20.6706410416,83.6663562696,44.2176483339,,90.0,30-45,2.0,664.743579671,9.0,Motorcycle_or_truck,Public_Sector,464.706958827,1.0,Yes
744,Browns,5.0,551.243361836,64451.5557047,Social,183.747787279,No,350.760989611,Yes,Female,By_16:00,0.89585873019,0.901868249523,2.98215307761,8.85432260111,4.93241180433,4.43003261462,7254.0,45.4941487638,361.841159289,4231.29221469,44060.211833,No,123033.271833,19.0221228912,227.595723932,16.6309182998,33956.9971171,70.0,Below_30,2.0,559.645800289,7.0,Car,Public_Sector,397.825315935,0.0,No
2358,Purples,5.0,151.683413951,20726.2683773,Social,50.5611379837,No,409.924879143,Yes,Female,By_16:00,0.637606889242,0.579685714561,6.87705061398,0.399846169166,0.763420450967,4.699245519,,15.2859978843,503.905822633,5107.0604367,58749.7538555,No,168038.40654,22.447846726,90.170121503,32.4496595422,2616.98981219,70.0,30-45,4.0,743.82436088,13.0,Public_or_other,Public_Sector,498.633265192,0.0,No
5271,Yellows,4.0,-145.463174026,-28921.0841876,Healthcare,-48.4877246755,Yes,596.461978392,No,Female,After_16:00,0.42083963519,,3.71327904984,8.71736706235,1.48099291837,8.19819992874,8400.0,16.0654591862,204.902236014,6374.42425594,34653.2588924,Yes,355766.891667,14.3144065896,343.464924014,17.9409373784,2312.57171953,80.0,Below_30,2.0,420.606609787,10.0,Motorcycle_or_truck,Hightech,353.096799072,0.0,Yes
3188,Blues,8.0,1279.6771803,77871.9535511,Social,,Yes,182.558432901,Yes,Female,After_16:00,0.570997464703,0.410126905888,3.70084977476,5.69511339301,7.04309586436,9.46721967543,6561.0,96.4230211452,658.398006586,3142.38034218,63022.4576063,Yes,33327.5814231,25.65926746,400.062396817,75.7788829505,182389.190812,70.0,30-45,2.0,768.360217045,10.0,Car,Services_or_Retail,315.092335655,1.0,Yes
1717,Greys,3.0,629.823928506,101763.111142,Foreign_Affairs,209.941309502,No,484.72171286,Yes,Male,By_16:00,0.0392711695749,0.456085184123,5.32112387707,5.25211057859,7.09949268261,7.94224605663,3046.0,1.90287414007,380.588020338,5608.39316928,47779.0437276,Maybe,234955.138918,19.5086652629,159.550172635,48.6900558695,44295.2947449,40.0,45_and_up,1.0,588.647758763,6.0,Foot_or_bicycle,Industry_or_other,395.292738346,0.0,Yes
8176,Browns,7.0,182.77603947,19201.5134603,Healthcare,60.9253464899,No,315.164616478,Yes,Male,By_16:00,0.355869091116,0.090185921872,1.68537671678,6.61836045096,0.889171226881,3.27853325056,3603.0,85.3756685741,367.865785602,3887.37773599,43836.6961867,No,99328.7354799,19.1798275697,,89.3342728727,3782.8231914,80.0,45_and_up,1.0,559.326861265,7.0,Motorcycle_or_truck,Industry_or_other,393.462385151,1.0,Yes
6849,Browns,3.0,274.775671682,25435.4210603,Healthcare,91.5918905606,No,277.703854617,Yes,Female,After_16:00,0.00751490448602,0.970040364657,3.35580395535,2.42914258735,9.66851193924,7.8436778835,3455.0,53.7326423218,399.74817148,3576.53488913,46106.9888123,No,77119.4308689,19.9937032958,260.295174644,91.1849756725,8490.66630702,80.0,30-45,2.0,592.025686867,8.0,Foot_or_bicycle,,408.963894146,1.0,No
1721,Greens,10.0,474.122079946,41664.5097809,Healthcare,158.040693315,No,263.63153,Yes,Female,By_16:00,0.208612582646,0.906586060533,2.06826637033,8.00651387079,4.46896207519,3.56957344571,6314.0,77.3257072549,,3615.00680752,58292.660309,No,69501.58361,,273.676729804,52.6233032346,,80.0,Below_30,3.0,785.540940039,14.0,Public_or_other,Services_or_Retail,637.533217307,0.0,No
2040,Browns,4.0,276.696381911,30107.565699,Financial,92.2321273035,No,326.432519548,Yes,Female,By_16:00,0.633117466234,0.820079880534,3.16152422689,9.91102033528,9.882514989,0.994118484668,6494.0,97.7466163924,403.576780964,4071.47875741,47509.4616532,No,106558.189819,20.0892205166,213.837131941,25.6122695748,8608.99743424,60.0,30-45,0.0,606.165970991,5.0,Foot_or_bicycle,Industry_or_other,420.607232337,1.0,No
6676,Pinks,4.0,224.312458221,,Social,74.7708194071,No,274.008915465,Yes,Female,By_16:00,0.411386201158,0.233080486534,2.74072429165,2.94447402004,8.86659485754,2.63821400004,7381.0,54.9717715243,364.582308148,3469.25377095,41415.3651053,No,75080.8857546,19.09403855,313.529305905,26.9561485155,5675.44625422,70.0,45_and_up,2.0,520.538640413,6.0,Motorcycle_or_truck,Industry_or_other,330.027343065,0.0,Yes
